Date,Open,High,Low,Close,Adj Close,Volume
2013-05-06,66.779999,67.720001,64.849998,67.680000,67.680000,5275800
2013-05-13,67.849998,71.559998,63.299999,64.010002,64.010002,9193400
2013-05-20,63.910000,69.790001,62.419998,64.389999,64.389999,7245800
2013-05-27,65.139999,65.949997,62.090000,62.700001,62.700001,11496100
2013-06-03,62.000000,62.730000,56.540001,58.930000,58.930000,12118300
2013-06-10,59.220001,59.380001,57.009998,58.139999,58.139999,5185500
2013-06-17,58.750000,59.200001,54.889999,55.599998,55.599998,6881000
2013-06-24,54.880001,57.669998,53.529999,55.740002,55.740002,6392700
2013-07-01,56.689999,61.209999,56.310001,59.630001,59.630001,5568300
2013-07-08,59.750000,65.750000,58.360001,64.809998,64.809998,6868400
2013-07-15,64.970001,65.059998,62.090000,64.730003,64.730003,5144100
2013-07-22,64.470001,65.220001,62.009998,63.910000,63.910000,3928000
2013-07-29,63.400002,65.500000,61.709999,64.459999,64.459999,5306000
2013-08-05,64.430000,64.980003,62.270000,64.250000,64.250000,3775000
2013-08-12,64.250000,67.040001,63.049999,63.330002,63.330002,4774100
2013-08-19,63.099998,65.650002,62.419998,64.739998,64.739998,2631000
2013-08-26,65.180000,66.669998,63.630001,65.470001,65.470001,3447600
2013-09-02,66.500000,72.940002,66.050003,72.699997,72.699997,6796300
2013-09-09,72.500000,76.339996,69.730003,70.769997,70.769997,11727500
2013-09-16,72.540001,80.669998,72.230003,76.949997,76.949997,18859400
2013-09-23,76.750000,77.190002,72.680000,74.089996,74.089996,6969900
2013-09-30,73.660004,76.019997,72.089996,73.820000,73.820000,6390300
2013-10-07,73.160004,73.779999,65.000000,67.730003,67.730003,13924200
2013-10-14,66.760002,68.970001,65.089996,66.360001,66.360001,7533700
2013-10-21,66.279999,69.510002,65.599998,66.239998,66.239998,9663900
2013-10-28,66.449997,67.059998,61.590000,62.279999,62.279999,8682800
2013-11-04,62.220001,63.430000,58.650002,61.470001,61.470001,9261900
2013-11-11,61.529999,70.169998,59.560001,69.290001,69.290001,15060500
2013-11-18,69.349998,72.070000,66.099998,71.040001,71.040001,9666600
2013-11-25,71.260002,71.870003,69.050003,70.430000,70.430000,4903900
2013-12-02,70.529999,70.750000,69.010002,70.160004,70.160004,4794100
2013-12-09,70.000000,70.900002,67.639999,69.529999,69.529999,4464400
2013-12-16,69.760002,71.500000,67.110001,68.860001,68.860001,4944000
2013-12-23,69.449997,70.000000,68.260002,69.250000,69.250000,1994400
2013-12-30,69.360001,70.559998,68.489998,69.089996,69.089996,2118000
2014-01-06,69.750000,71.379997,66.720001,69.820000,69.820000,4705700
2014-01-13,69.970001,73.930000,68.019997,73.449997,73.449997,5576800
2014-01-20,73.919998,74.349998,70.849998,70.849998,70.849998,2887900
2014-01-27,71.769997,71.769997,66.720001,68.879997,68.879997,5841800
2014-02-03,68.889999,69.589996,64.610001,67.330002,67.330002,5982100
2014-02-10,67.610001,77.000000,67.260002,75.809998,75.809998,7163200
2014-02-17,77.000000,82.089996,73.639999,81.519997,81.519997,9284700
2014-02-24,81.639999,84.250000,79.699997,81.000000,81.000000,9301400
2014-03-03,80.190002,82.150002,73.349998,77.239998,77.239998,9489300
2014-03-10,77.300003,79.230003,75.040001,77.349998,77.349998,5116500
2014-03-17,78.070000,82.000000,73.190002,73.930000,73.930000,7946000
2014-03-24,74.029999,74.800003,65.489998,66.260002,66.260002,11354700
2014-03-31,66.660004,70.419998,62.349998,63.340000,63.340000,7795100
2014-04-07,63.299999,66.040001,57.029999,57.250000,57.250000,10459900
2014-04-14,58.860001,62.610001,55.040001,60.889999,60.889999,8172700
2014-04-21,60.970001,63.419998,56.669998,57.090000,57.090000,8705300
2014-04-28,57.610001,61.049999,55.500000,57.700001,57.700001,10059100
2014-05-05,57.549999,60.369999,56.169998,58.540001,58.540001,6214500
2014-05-12,58.500000,60.099998,56.000000,57.590000,57.590000,5358000
2014-05-19,57.369999,58.480000,55.680000,56.480000,56.480000,8102000
2014-05-26,57.000000,58.380001,56.240002,57.959999,57.959999,5945900
2014-06-02,58.119999,64.239998,57.080002,61.740002,61.740002,9986400
2014-06-09,63.000000,63.099998,60.630001,61.090000,61.090000,5386400
2014-06-16,60.799999,67.110001,59.389999,66.089996,66.089996,6975100
2014-06-23,65.360001,66.300003,61.310001,62.830002,62.830002,4074600
2014-06-30,62.669998,65.790001,62.060001,64.589996,64.589996,2592400
2014-07-07,64.010002,64.699997,58.610001,59.290001,59.290001,4207000
2014-07-14,59.799999,60.000000,55.360001,59.060001,59.060001,6811400
2014-07-21,58.570000,63.049999,57.880001,60.599998,60.599998,5377600
2014-07-28,60.799999,65.989998,59.099998,61.950001,61.950001,7669800
2014-08-04,61.959999,65.900002,61.639999,63.990002,63.990002,5320100
2014-08-11,64.309998,68.410004,63.590000,67.239998,67.239998,4344900
2014-08-18,67.849998,70.900002,67.300003,70.160004,70.160004,5634300
2014-08-25,70.959999,72.209999,69.550003,71.220001,71.220001,4408400
2014-09-01,71.449997,71.449997,66.339996,67.300003,67.300003,3891000
2014-09-08,66.910004,69.739998,66.910004,68.000000,68.000000,5647900
2014-09-15,67.760002,69.959999,65.989998,69.849998,69.849998,6091300
2014-09-22,69.379997,73.230003,68.320000,72.360001,72.360001,5420000
2014-09-29,71.669998,73.349998,69.099998,70.669998,70.669998,5577100
2014-10-06,71.169998,73.599998,69.449997,70.800003,70.800003,5563700
2014-10-13,70.720001,71.720001,65.910004,70.449997,70.449997,6858800
2014-10-20,70.279999,81.830002,70.099998,81.029999,81.029999,7056600
2014-10-27,80.510002,84.300003,79.639999,82.500000,82.500000,5893600
2014-11-03,83.059998,86.800003,81.720001,83.910004,83.910004,4533700
2014-11-10,85.779999,88.230003,82.669998,82.849998,82.849998,5573400
2014-11-17,82.879997,86.339996,82.320000,85.830002,85.830002,3985300
2014-11-24,83.889999,91.400002,83.099998,89.720001,89.720001,6329600
2014-12-01,89.300003,92.989998,88.120003,90.180000,90.180000,6291700
2014-12-08,90.940002,96.360001,90.570000,91.519997,91.519997,5848000
2014-12-15,91.699997,94.190002,85.720001,93.839996,93.839996,8358000
2014-12-22,93.339996,93.889999,86.720001,91.529999,91.529999,3330900
2014-12-29,91.419998,92.690002,89.510002,92.169998,92.169998,2768400
2015-01-05,90.889999,97.930000,88.510002,93.779999,93.779999,6362400
2015-01-12,95.309998,100.500000,93.230003,99.449997,99.449997,8169600
2015-01-19,99.949997,100.370003,92.000000,97.690002,97.690002,8743900
2015-01-26,98.089996,100.949997,96.379997,97.160004,97.160004,6748100
2015-02-02,97.720001,97.900002,89.180000,93.849998,93.849998,6270100
2015-02-09,94.000000,100.800003,92.889999,100.760002,100.760002,4629300
2015-02-16,100.800003,107.989998,100.260002,107.160004,107.160004,4092600
2015-02-23,107.639999,111.889999,104.419998,107.070000,107.070000,6478000
2015-03-02,107.000000,116.699997,106.070000,113.769997,113.769997,7372200
2015-03-09,113.750000,124.160004,111.169998,123.519997,123.519997,8653800
2015-03-16,121.489998,129.589996,121.260002,125.169998,125.169998,9141300
2015-03-23,125.250000,133.539993,111.000000,128.779999,128.779999,14537300
2015-03-30,131.330002,133.440002,117.550003,120.379997,120.379997,8870800
2015-04-06,120.110001,126.660004,118.169998,122.199997,122.199997,8519300
2015-04-13,121.879997,124.860001,119.269997,120.910004,120.910004,5692900
2015-04-20,121.040001,124.050003,119.040001,120.279999,120.279999,4563900
2015-04-27,120.720001,124.949997,110.500000,115.919998,115.919998,8844300
2015-05-04,115.430000,124.320000,113.500000,121.660004,121.660004,6965700
2015-05-11,122.279999,123.709999,119.050003,122.779999,122.779999,4456500
2015-05-18,122.419998,128.220001,121.529999,127.190002,127.190002,4869600
2015-05-25,127.000000,131.539993,124.199997,125.570000,125.570000,5600900
2015-06-01,125.699997,126.919998,118.980003,123.849998,123.849998,5189200
2015-06-08,125.000000,125.580002,117.540001,122.029999,122.029999,4606000
2015-06-15,121.300003,140.490005,120.010002,137.929993,137.929993,10448400
2015-06-22,138.789993,141.509995,132.850006,134.839996,134.839996,5861900
2015-06-29,133.699997,138.710007,131.570007,136.839996,136.839996,4478300
2015-07-06,136.070007,142.339996,135.520004,141.669998,141.669998,6591500
2015-07-13,142.919998,149.139999,142.809998,149.089996,149.089996,5316300
2015-07-20,150.000000,151.750000,141.169998,144.990005,144.990005,11918400
2015-07-27,143.990005,148.100006,140.179993,146.270004,146.270004,5704900
2015-08-03,146.679993,148.300003,128.949997,133.839996,133.839996,7512100
2015-08-10,134.410004,139.020004,131.399994,135.509995,135.509995,4411000
2015-08-17,135.210007,140.679993,125.540001,126.169998,126.169998,4333700
2015-08-24,115.010002,133.279999,114.949997,133.179993,133.179993,7040400
2015-08-31,134.050003,136.850006,123.769997,126.510002,126.510002,5095000
